airline_id	channel	service_status	fare_nature	amount	currency	geography_route	billing_subject_and_journey_basis	reservation_lead	official_url	locator	page_date	verified_date	legacy_fee	legacy_farelist	repo_linkage	evidence_excerpt	notes
aeromexico	hold	OFFERED	NOT_FOUND	price section present but numeric table not accessible	ND	up to 45 kg; route restrictions	checked pet	advance reservation; exact lead not shown	https://beta.aeromexico.com/es-mx/informacion-de-vuelos/transporte-aereo-de-mascotas	Servicios > Mascota en bodega	ND	2026-09-10	$283–290	legacy per-segment grid	NO: legacy fee/fareList dormant; Finder reads policies status only	“Mascota en bodega … Hasta 45 kg”	Legacy amount not corroborated.
aeromexico	cargo	NON_ESTABLISHED	NOT_FOUND	—	ND	no current official cargo-pet tariff located	ND	ND	https://beta.aeromexico.com/es-mx/informacion-de-vuelos/transporte-aereo-de-mascotas	Scope of passenger page	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“Servicios de Mascotas”	No inference from absence.
air_algerie	cabin	OFFERED	FORMULA_OR_ROUTE_EXACT	excess-baggage rate; Algeria→China 15000 DZD; China→Algeria 1300 CNY	DZD/CNY	general network; exact exception China	pet+container; route	declare at booking	https://airalgerie.dz/en/plan-your-trip/baggage/travel-with-pets/	Pet fee / China exception	ND	2026-09-10	excess baggage rate	legacy formula	NO: legacy fee/fareList dormant; Finder reads policies status only	“Algeria – China | 15 000 DZD | 15 000 DZD; China – Algeria | 1 300 CNY | 1 300 CNY”	Only China values explicitly located; no general amount inferred.
air_algerie	hold	OFFERED	FORMULA_OR_ROUTE_EXACT	excess-baggage rate; Algeria→China 15000 DZD; China→Algeria 1300 CNY	DZD/CNY	general network; exact exception China	pet+container; route	declare at booking	https://airalgerie.dz/en/plan-your-trip/baggage/travel-with-pets/	Pet in hold / fee	ND	2026-09-10	excess baggage rate	legacy formula	NO: legacy fee/fareList dormant; Finder reads policies status only	“Algeria – China | 15 000 DZD | 15 000 DZD; China – Algeria | 1 300 CNY | 1 300 CNY”	General fee is variable; no amount inferred.
air_algerie	cargo	CONDITIONAL	QUOTE_OR_NOT_FOUND	contact freight service	ND	when passenger limits exceeded / cargo handling	shipment	advance contact	https://airalgerie.dz/en/plan-your-trip/baggage/travel-with-pets/	Cargo references	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“cargo”	No public amount found.
air_astana	cabin	OFFERED	FORMULA	2× applicable excess-baggage rate per kg	varies	depends destination	per kg including container	at least 24h before departure	https://tengri.airastana.com/media/zmyk2204/tengri_20250301.pdf	Carriage of pets	2025-03	2026-09-10	Not published	fare not published	NO: legacy fee/fareList dormant; Finder reads policies status only	“twice the cost of excess baggage”	Exact itinerary amount requires route baggage rate.
air_astana	hold	OFFERED	FORMULA	2× applicable excess-baggage rate per kg	varies	depends destination	per kg including container	at least 24h before departure	https://tengri.airastana.com/media/zmyk2204/tengri_20250301.pdf	Carriage of pets	2025-03	2026-09-10	Not published	fare not published	NO: legacy fee/fareList dormant; Finder reads policies status only	“twice the cost of excess baggage”	Same formula as cabin.
air_astana	cargo	CONDITIONAL	QUOTE_OR_NOT_FOUND	contact special services/cargo	ND	birds/rodents; pets above passenger limits	shipment / AWB	at least 24h indicated for animal request	https://tengri.airastana.com/media/zmyk2204/tengri_20250301.pdf	Carriage of pets	2025-03	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“shipped as cargo under the air waybill”	No public cargo amount found.
air_austral	cabin	OFFERED	EXACT	125	EUR	all destinations	per one-way trip	reserve/confirm before travel	https://www.air-austral.com/aide.html?question=puis-je-voyager-mon-animal	Puis-je voyager avec mon animal ?	ND	2026-09-10	€125 one-way	€125	NO: legacy fee/fareList dormant; Finder reads policies status only	“125 € par trajet”	Legacy amount corroborated.
air_austral	hold	OFFERED	EXACT	200	EUR	all destinations	per one-way trip	reserve/confirm before travel	https://www.air-austral.com/aide.html?question=puis-je-voyager-mon-animal	Puis-je voyager avec mon animal ?	ND	2026-09-10	€200 one-way	€200	NO: legacy fee/fareList dormant; Finder reads policies status only	“200 € par trajet”	Legacy amount corroborated.
air_austral	cargo	CONDITIONAL	QUOTE_OR_NOT_FOUND	contact freight	ND	animals outside passenger conditions	shipment	advance cargo arrangement	https://www.air-austral.com/aide.html?question=puis-je-voyager-mon-animal	Other animals / freight	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“transport en fret”	No public amount found.
air_canada	cabin	OFFERED	RANGE_EXACT	50–60 Canada/US; 100–120 other itineraries	CAD	Canada/US except Hawaii; all other	one-way per carrier	book/register in advance	https://www.aircanada.com/hk/en/aco/home/legal/products-and-services.html	Pets > cabin fees	2024-10-28	2026-09-10	$50–120	50–60 / 100–120	NO: legacy fee/fareList dormant; Finder reads policies status only	“$50–$60 … $100–$120”	Legacy grid corroborated.
air_canada	hold	OFFERED	RANGE_EXACT	105–126 Canada/US; 270–324 other itineraries	CAD	Canada/US except Hawaii; all other	one-way per carrier	at least 48h on most itineraries	https://www.aircanada.com/hk/en/aco/home/legal/products-and-services.html	Pets > baggage compartment fees	2024-10-28	2026-09-10	$105–324	105–126 / 270–324	NO: legacy fee/fareList dormant; Finder reads policies status only	“$105–$126 … $270–$324”	Legacy grid corroborated.
air_canada	cargo	OFFERED	QUOTE	AC Animals quote	ND	cargo network / route restrictions	shipment	advance cargo booking	https://www.aircanada.com/cargo/all-products/ac-animals	AC Animals	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“AC Animals”	No public amount found.
air_caraibes	cabin	OFFERED	EXACT	75	EUR	transatlantic operated flights	per trip; non-refundable	reserve; subject quota	https://www.aircaraibes.com/en/before-travel/special-requests/pets	Cabin fare	ND	2026-09-10	€10–75	short-haul €10; transatlantic €75	NO: legacy fee/fareList dormant; Finder reads policies status only	“€75 per trip”	Current page corroborates €75 only; legacy €10 short-haul not found.
air_caraibes	hold	OFFERED	EXACT	150	EUR	transatlantic operated flights	per trip; non-refundable	reserve; subject quota	https://www.aircaraibes.com/en/before-travel/special-requests/pets	Hold fare	ND	2026-09-10	€20–150	short-haul €20; transatlantic €150	NO: legacy fee/fareList dormant; Finder reads policies status only	“€150 per trip”	Current page corroborates €150 only; legacy €20 short-haul not found.
air_caraibes	cargo	CONDITIONAL	QUOTE_OR_NOT_FOUND	contact freight	ND	large/unaccompanied or route-required cases	shipment	advance contact	https://www.aircaraibes.com/en/before-travel/special-requests/pets	Freight cases	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“freight”	No public amount found.
air_china	cabin	NOT_OFFERED	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://ru.airchina.com/RU/GB/info/checked-baggage	Special baggage / pets	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	“pets checked per container”	Only service dogs in cabin.
air_china	hold	OFFERED	EXACT	3900 (2–8kg); 5200 (>8–23kg); 7800 (>23–32kg), equivalents 600/800/1200	CNY/USD	international special-baggage table	per container / weight band	advance application; subject space	https://ru.airchina.com/go/2025.4-13/Baggage/Special_Baggage/EN20220610.pdf	Pets checked per container	2022-06-10	2026-09-10	special-baggage fee	legacy formula only	NO: legacy fee/fareList dormant; Finder reads policies status only	NEEDS_QUOTE — official PDF was inaccessible to faithful text extraction; locator alone does not prove the CNY/USD amounts	Official PDF still linked by current baggage page; page date old.
air_china	cargo	CONDITIONAL	QUOTE_OR_NOT_FOUND	contact cargo	ND	above passenger limits / route restrictions	shipment	advance arrangement	https://ru.airchina.com/go/2025.4-13/Baggage/Special_Baggage/EN20220610.pdf	Over-limit pets	2022-06-10	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“cargo”	No public cargo amount found.
air_europa	cabin	OFFERED	EXACT	36 Spain domestic/Balearic; 52 Spain–Europe/Canaries; 155 long-haul	EUR/USD	listed route groups	per live animal / segment	book through airline before travel	https://www.aireuropa.com/us/en/aea/travel-information/terms-and-conditions/flight-conditions.html	Animals > charges	ND	2026-09-10	€35–175	legacy 35/50/150–175	NO: legacy fee/fareList dormant; Finder reads policies status only	“36 … 52 … 155”	Legacy amounts are stale/different.
air_europa	hold	OFFERED	EXACT	93 Spain domestic/Balearic; 155 Spain–Europe/Canaries; 310 long-haul	EUR/USD	listed route groups	per live animal / segment	book through airline before travel	https://www.aireuropa.com/us/en/aea/travel-information/terms-and-conditions/flight-conditions.html	Animals > charges	ND	2026-09-10	€90–350	legacy 90–350	NO: legacy fee/fareList dormant; Finder reads policies status only	“93 … 155 … 310”	Legacy range not exact current grid.
air_europa	cargo	CONDITIONAL	QUOTE_OR_NOT_FOUND	contact cargo	ND	when passenger rules do not permit	shipment	advance arrangement	https://www.aireuropa.com/us/en/aea/travel-information/terms-and-conditions/flight-conditions.html	Animals / cargo cases	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“cargo”	No public cargo amount found.
air_france	cabin	OFFERED	NOT_FOUND	price provided by booking/route selector; numeric tariff not found on public page	ND	eligible routes	per pet / itinerary as quoted	add during booking; availability; 48h advised for USA	https://www.airfrance.com/information/passagers/voyager-avec-son-animal-chien-chat	Tarifs / cabine	ND	2026-09-10	70–200	legacy grid	NO: legacy fee/fareList dormant; Finder reads policies status only	“ajoutez votre animal à votre réservation”	Legacy amount not corroborated; do not publish it.
air_france	hold	OFFERED	NOT_FOUND	price provided by booking/route selector; numeric tariff not found	ND	eligible routes and aircraft	per pet / itinerary as quoted	add no later than 24h; 48h for USA	https://www.airfrance.com/information/passagers/voyager-avec-son-animal-chien-chat	Tarifs / soute	ND	2026-09-10	100–400	legacy grid	NO: legacy fee/fareList dormant; Finder reads policies status only	“au plus tard 24 h avant le départ”	Late addition surcharge exists; base amount not found.
air_france	cargo	CONDITIONAL	QUOTE	Air France-KLM Martinair Cargo quote	ND	unaccompanied/over-limit/route-required	shipment	advance cargo booking	https://www.airfrance.com/information/passagers/voyager-avec-son-animal-chien-chat	Transport par fret	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“transport par fret”	No public amount found.
air_india	cabin	OFFERED	EXACT_GRID	7500 domestic; 140/160/225 international bands	INR/USD	domestic and destination bands	per sector / pet container	at least 48h before departure	https://www.airindia.com/content/dam/air-india/pdfs/ai-pets-in-cabin-guidelines.pdf	Pet charges table	ND	2026-09-10	$140–225 / ₹7500	legacy grid	NO: legacy fee/fareList dormant; Finder reads policies status only	NEEDS_QUOTE — identified PDF text proves INR 7,500 and USD 140/160, but no USD 225 cell was found	Official FAQ and PDF differ on some Europe band wording; retain PDF bands and flag route check.
air_india	hold	OFFERED	EXACT	16000 domestic; 350 international	INR/USD	domestic / international	per sector / pet container	at least 48h before departure	https://www.airindia.com/in/en/frequently-asked-questions/pet-travel.html	Pet in hold > charges	ND	2026-09-10	$350 / ₹16000	legacy exact	NO: legacy fee/fareList dormant; Finder reads policies status only	“INR 16,000 … USD 350”	Legacy amount corroborated.
air_india	cargo	CONDITIONAL	QUOTE_OR_NOT_FOUND	contact cargo	ND	over 32kg / unaccompanied / route-required	shipment	advance arrangement	https://www.airindia.com/in/en/frequently-asked-questions/pet-travel.html	Cargo cases	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“cargo”	No public amount found.
air_mauritius	cabin	NOT_OFFERED	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://www.airmauritius.com/en-fr/before-you-fly/travel-information/assistance-and-health/travelling-with-pets	Cabin rules	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	“Pets are not allowed in the cabin”	Service animals separate.
air_mauritius	hold	CONDITIONAL	FORMULA	excess-baggage applicable rate	varies	from Mauritius; subject route acceptance	pet+container weight	reserve at booking	https://www.airmauritius.com/en-fr/before-you-fly/travel-information/assistance-and-health/travelling-with-pets	Checked baggage pets	ND	2026-09-10	excess-baggage rate	legacy formula	NO: legacy fee/fareList dormant; Finder reads policies status only	“applicable excess baggage rate”	Exact amount not published.
air_mauritius	cargo	OFFERED	QUOTE	contact for quote	ND	cargo network	shipment	advance cargo booking	https://my.airmauritius.com/en-gb/help/faq/cargo-queries	Cargo queries	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“Please contact us for a quote”	No public amount.
air_new_zealand	cabin	NOT_OFFERED	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://www.airnewzealand.com/en-nz/travel-info/accessibility-and-assistance/travelling-with-pets	Travel options	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	“not permitted in the cabin”	Service dogs separate.
air_new_zealand	hold	OFFERED_DOMESTIC	EXACT	120	NZD	domestic New Zealand	per carrier per journey / one direction	after passenger booking; submit pet form	https://www.airnewzealand.com/en-nz/travel-info/accessibility-and-assistance/travelling-with-pets	Domestic pets / charge	ND	2026-09-10	NZ$120	legacy exact	NO: legacy fee/fareList dormant; Finder reads policies status only	“NZD $120 per pet carrier per journey”	International pets use cargo/transporter.
air_new_zealand	cargo	OFFERED_INTERNATIONAL	QUOTE	approved pet transporter quote	ND	international and unaccompanied	shipment	advance transporter booking	https://www.airnewzealand.com/en-nz/travel-info/accessibility-and-assistance/travelling-with-pets	International pet transport	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“approved pet transporter”	No public amount.
air_serbia	cabin	OFFERED	EXACT_GRID	40 regional; 70 Europe; 80 Middle East/Africa; 100 Russia; 130 USA/Canada/China	EUR	listed destination groups	per flight segment	request at booking; capacity check	https://www.airserbia.com/en/info-and-help/travel-guidelines/traveling-with-your-pets	Fees	ND	2026-09-10	€40–130	legacy exact grid	NO: legacy fee/fareList dormant; Finder reads policies status only	“€40 … €70 … €80 … €100 … €130”	Legacy grid corroborated.
air_serbia	hold	NOT_OFFERED	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://www.airserbia.com/en/info-and-help/travel-guidelines/traveling-with-your-pets	Travel mode	ND	2026-09-10	Not published	not carried	NO: legacy fareList dormant; Finder reads policies status only	“in the passenger cabin”	Official pet page provides cabin service only.
air_serbia	cargo	NON_ESTABLISHED	NOT_FOUND	—	ND	no current official pet-cargo offer located	ND	ND	https://www.airserbia.com/en/info-and-help/travel-guidelines/traveling-with-your-pets	Scope of page	ND	2026-09-10	Not published	not carried	NO: legacy fareList dormant; Finder reads policies status only	“Travelling with your pets”	Do not infer non-service from silence.
air_tahiti_nui	cabin	OFFERED_LIMITED_ROUTES	EXACT_GRID	14000 PPT–LAX; 24000 PPT–Paris; 150 LAX–Paris; 150 Paris–LAX	XPF/USD/EUR	specified operated sectors	per cage one-way	reserve in advance; capacity/route rules	https://us.airtahitinui.com/our-optional-services-and-fees	Pets in cabin	ND	2026-09-10	€150/$150	legacy grid includes XPF	NO: legacy fee/fareList dormant; Finder reads policies status only	“In-cabin pet | Papeete | Los Angeles | XPF 14,000; Papeete | Paris | XPF 24,000; Los Angeles | Paris | USD 150; Paris | Los Angeles | EUR 150”	Legacy exact grid corroborated.
air_tahiti_nui	hold	NON_ESTABLISHED	NOT_FOUND	—	ND	no passenger hold tariff located	ND	ND	https://us.airtahitinui.com/our-optional-services-and-fees	Pets section	ND	2026-09-10	missing	missing	NO: Finder reads policies status only	“Pets in cabin”	Do not infer service.
air_tahiti_nui	cargo	CONDITIONAL	QUOTE_OR_NOT_FOUND	contact cargo	ND	route/animal cases outside cabin	shipment	advance arrangement	https://www.airtahitinui.com/sites/default/files/medias/files/2025-03/_DRX_SQC_CGV%20PETC_V2.1_250319_EN_Effective%2026MAR25.pdf	Cargo/route exclusions	2025-03-26	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“Effective 26MAR25”	No public cargo amount found.
air_transat	cabin	OFFERED	EXACT_GRID	50 Canada/USA; 100 South/Europe/Africa	CAD	Air Transat-operated sectors	per pet per flight segment	pay up to 24h before flight	https://www.airtransat.com/en-CA/Travel-information/Special-services/Pets-and-service-dogs	Fees for cabin	ND	2026-09-10	CAD 50–100	legacy exact grid	NO: legacy fee/fareList dormant; Finder reads policies status only	“Paid up to 24 hours before departure | $100 | $100 | $50 | $50”	Legacy grid corroborated.
air_transat	hold	OFFERED	EXACT_GRID	100 within Canada; 150 USA; 275 South/Europe/Africa	CAD	Air Transat-operated sectors	per pet per flight segment	pay up to 24h before flight	https://www.airtransat.com/en-CA/Travel-information/Special-services/Pets-and-service-dogs	Fees for checked pets	ND	2026-09-10	CAD 100–275	legacy exact grid	NO: legacy fee/fareList dormant; Finder reads policies status only	“Paid up to 24 hours before departure | $275 | $275 | $150 | $100”	Legacy grid corroborated.
air_transat	cargo	NON_ESTABLISHED	NOT_FOUND	—	ND	no official pet-cargo tariff located	ND	ND	https://www.airtransat.com/en-CA/Travel-information/Special-services/Pets-and-service-dogs	Scope of page	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“Pets and service dogs”	Do not infer amount or service.
airbaltic	cabin	OFFERED	EXACT	70	EUR	airBaltic-operated flight	per container per direction	book online/with reservation; subject capacity	https://www.airbaltic.com/en/assisted-travel/travelling-with-pets	Fees	ND	2026-09-10	€70 per direction	legacy exact	NO: legacy fee/fareList dormant; Finder reads policies status only	“EUR 70 per container per direction”	Legacy corroborated.
airbaltic	hold	OFFERED	EXACT	130 (1–32kg); 220 (33–75kg)	EUR	airBaltic-operated flight	per container per direction	book in advance; arrive 2h before	https://www.airbaltic.com/en/assisted-travel/travelling-with-pets	Fees in hold	ND	2026-09-10	€130 / €220	legacy exact	NO: legacy fee/fareList dormant; Finder reads policies status only	“EUR 130 … EUR 220”	Legacy corroborated.
airbaltic	cargo	CONDITIONAL	QUOTE_OR_NOT_FOUND	contact cargo above 75kg / cargo cases	ND	cargo-eligible routes	shipment	advance contact	https://www.airbaltic.com/en/assisted-travel/travelling-with-pets	Over 75 kg	ND	2026-09-10	Not published	cargo not published	NO: legacy fee/fareList dormant; Finder reads policies status only	“transported as cargo”	No public amount found.
aircalin	cabin	NOT_OFFERED	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://www.aircalin.com/fr/animaux	Transport d’animaux	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	“Le transport des animaux s’effectue en fret uniquement”	Guide dogs exception.
aircalin	hold	NOT_OFFERED_AS_PASSENGER_BAGGAGE	NOT_APPLICABLE	—	—	animals handled as freight	—	—	https://www.aircalin.com/fr/animaux	Transport d’animaux	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	“en fret uniquement”	Page also says “soute” colloquially but procedure is freight/AWB.
aircalin	cargo	OFFERED	QUOTE	contact Aircalin freight / forwarder	ND	New Caledonia network and listed routes	shipment	2 business days minimum; to France start 3 months ahead	https://www.aircalin.com/fr/animaux	Destinations / reservation	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“Lancer les démarches … 3 mois avant”	No public amount found.
alaska	cabin	OFFERED	EXACT	100; 35 wholly within Hawaii	USD	Alaska/Hawaiian operated travel	per carrier each way	contact to reserve; subject availability	https://news.alaskaair.com/company/what-to-know-before-traveling-with-a-canine-companion/	Ways to fly > In the cabin	2026-08-26	2026-09-10	$100 each way	legacy $100	NO: legacy fee/fareList dormant; Finder reads policies status only	“$100 per carrier (or $35 … Hawai‘i)”	New official article refines current merged policy.
alaska	hold	OFFERED	EXACT	200; discounted within Alaska/Hawaii and military (amount not stated)	USD	Alaska/Hawaiian operated travel	per kennel each way	contact to reserve; subject availability	https://news.alaskaair.com/company/what-to-know-before-traveling-with-a-canine-companion/	Ways to fly > baggage compartment	2026-08-26	2026-09-10	$150 each way	legacy $150	NO: legacy fee/fareList dormant; Finder reads policies status only	“fee is $200 each way per kennel”	Legacy $150 is stale.
alaska	cargo	OFFERED	QUOTE_OR_RATE_CALCULATOR	Pet Connect rate estimate / booking	USD	cargo network	shipment	24h–30d; 3–7 business days for intl/other-airline	https://www.alaskacargo.com/PetConnect/	Reservations	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“reservations are accepted a minimum of 24 hours”	No single public amount; route/weight quote.
american	cabin	OFFERED	EXACT	150	USD	US/Canada/Mexico/Central America/Caribbean eligible routes	per kennel each way; stopover >4h can re-charge	pay at airport; reserve due capacity	https://www.aa.com/web/i18n/travel-info/special-assistance/pets.html	Fees > Carry-on pet	ND	2026-09-10	$150	legacy exact	NO: legacy fee/fareList dormant; Finder reads policies status only	“$150 per kennel”	Current page corroborated.
american	hold	LIMITED_MILITARY_ONLY	EXACT	200; 150 to/from Brazil	USD	listed regions; active-duty military/State Department orders only	per kennel each way	contact at least 48h	https://www.aa.com/web/i18n/travel-info/special-assistance/pets.html	Fees > Checked pet	ND	2026-09-10	$150–200	legacy range	NO: legacy fee/fareList dormant; Finder reads policies status only	“$200 per kennel … $150 to/from Brazil”	Repo policy “not offered” hides official-personnel exception.
american	cargo	OFFERED	QUOTE	confirmed at booking	varies	PetEmbark routes	shipment	advance cargo booking	https://www.aa.com/web/i18n/travel-info/special-assistance/pets.html	Fees > Cargo pet	ND	2026-09-10	Quote + $150	legacy “Quote + $150”	NO: legacy fee/fareList dormant; Finder reads policies status only	“Fees will be confirmed at time of booking”	No official universal +$150 found; legacy suffix unsupported.
ana	cabin	NOT_OFFERED	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://www.ana.co.jp/en/jp/guide/reservation/support/international/pets/	Reservation and Fee	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	“carried in the cargo section”	Service dogs separate.
ana	hold	OFFERED	EXACT_GRID	400 cross-area; 250 within area; domestic 6600 or 4400 after 2026-05-19	USD; JPY	international area grid; Japan domestic	per cage / route	advance reservation; up to 2 days before first flight in stated connection case	https://www.ana.co.jp/en/jp/guide/reservation/support/international/pets/	Reservation and Fee > Service Fee	ND	2026-09-10	¥6000 domestic; $250–400 international	legacy values slightly lower domestic	NO: legacy fee/fareList dormant; Finder reads policies status only	“Price per cage | JPY40000 / USD400 / CAD400 / EUR300 | JPY25000 / USD250 / CAD250 / EUR200 | JPY5000 | JPY6000 or JPY4000”	Current domestic JPY6600/4400 incl tax; legacy 6000/4000 stale.
ana	cargo	OFFERED_SEPARATELY	QUOTE_OR_NOT_FOUND	contact ANA Cargo	ND	unaccompanied/over-limit	shipment	advance cargo booking	https://www.ana.co.jp/en/jp/guide/reservation/support/international/pets/	Pet shipped separately notice	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	“pet only … handling differs”	No public cargo amount found.
asiana	cabin	OFFERED	EXACT_GRID	30000 domestic; 140000 NE Asia; 210000 other Asia; 290000 US/Europe/Oceania (≤32kg grid)	KRW	listed route groups	per cage / one-way	24h domestic; 48h international business days	https://flyasiana.com/C/US/EN/contents/traveling-with-pets	Pet Fare Table	ND	2026-09-10	KRW 30k–290k	legacy grid	NO: legacy fee/fareList dormant; Finder reads policies status only	NEEDS_QUOTE — the official two-column weight matrix spans four route rows; no short contiguous excerpt proves the complete cabin column	Same official grid applies cabin or checked; cabin actual weight limit far below 32kg.
