airline_id	channel	service_class	service_status_raw	fare_class	fare_nature_raw	amount	currency	scope_raw	billing_basis_raw	booking_deadline	official_url	locator	evidence_excerpt	citation_check	page_date	verified_date	legacy_fee	legacy_farelist	repo_linkage	assessment
air_algerie	cabin	OFFERED	OFFERED	FORMULA	FORMULA_OR_ROUTE_EXACT	excess-baggage rate; Algeria→China 15000 DZD; China→Algeria 1300 CNY	DZD/CNY	general network; exact exception China	pet+container; route	declare at booking	https://airalgerie.dz/en/plan-your-trip/baggage/travel-with-pets/	Pet fee / China exception	“Algeria – China | 15 000 DZD | 15 000 DZD; China – Algeria | 1 300 CNY | 1 300 CNY”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	excess baggage rate	legacy formula	NO: legacy fee/fareList dormant; Finder reads policies status only	Only China values explicitly located; no general amount inferred.
air_algerie	cargo	CONDITIONAL	CONDITIONAL	QUOTE_OR_NOT_FOUND	QUOTE_OR_NOT_FOUND	contact freight service	ND	when passenger limits exceeded / cargo handling	shipment	advance contact	https://airalgerie.dz/en/plan-your-trip/baggage/travel-with-pets/	Cargo references	“cargo”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No public amount found.
air_algerie	hold	OFFERED	OFFERED	FORMULA	FORMULA_OR_ROUTE_EXACT	excess-baggage rate; Algeria→China 15000 DZD; China→Algeria 1300 CNY	DZD/CNY	general network; exact exception China	pet+container; route	declare at booking	https://airalgerie.dz/en/plan-your-trip/baggage/travel-with-pets/	Pet in hold / fee	“Algeria – China | 15 000 DZD | 15 000 DZD; China – Algeria | 1 300 CNY | 1 300 CNY”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	excess baggage rate	legacy formula	NO: legacy fee/fareList dormant; Finder reads policies status only	General fee is variable; no amount inferred.
air_astana	cabin	OFFERED	OFFERED	FORMULA	FORMULA	2× applicable excess-baggage rate per kg	varies	depends destination	per kg including container	at least 24h before departure	https://tengri.airastana.com/media/zmyk2204/tengri_20250301.pdf	Carriage of pets	“twice the cost of excess baggage”	MECHANISM_EXCERPT_PRESENT	2025-03	2026-09-10	Not published	fare not published	NO: legacy fee/fareList dormant; Finder reads policies status only	Exact itinerary amount requires route baggage rate.
air_astana	cargo	CONDITIONAL	CONDITIONAL	QUOTE_OR_NOT_FOUND	QUOTE_OR_NOT_FOUND	contact special services/cargo	ND	birds/rodents; pets above passenger limits	shipment / AWB	at least 24h indicated for animal request	https://tengri.airastana.com/media/zmyk2204/tengri_20250301.pdf	Carriage of pets	“shipped as cargo under the air waybill”	MECHANISM_EXCERPT_PRESENT	2025-03	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No public cargo amount found.
air_astana	hold	OFFERED	OFFERED	FORMULA	FORMULA	2× applicable excess-baggage rate per kg	varies	depends destination	per kg including container	at least 24h before departure	https://tengri.airastana.com/media/zmyk2204/tengri_20250301.pdf	Carriage of pets	“twice the cost of excess baggage”	MECHANISM_EXCERPT_PRESENT	2025-03	2026-09-10	Not published	fare not published	NO: legacy fee/fareList dormant; Finder reads policies status only	Same formula as cabin.
air_austral	cabin	OFFERED	OFFERED	EXACT	EXACT	125	EUR	all destinations	per one-way trip	reserve/confirm before travel	https://www.air-austral.com/aide.html?question=puis-je-voyager-mon-animal	Puis-je voyager avec mon animal ?	“125 € par trajet”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	€125 one-way	€125	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy amount corroborated.
air_austral	cargo	CONDITIONAL	CONDITIONAL	QUOTE_OR_NOT_FOUND	QUOTE_OR_NOT_FOUND	contact freight	ND	animals outside passenger conditions	shipment	advance cargo arrangement	https://www.air-austral.com/aide.html?question=puis-je-voyager-mon-animal	Other animals / freight	“transport en fret”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No public amount found.
air_austral	hold	OFFERED	OFFERED	EXACT	EXACT	200	EUR	all destinations	per one-way trip	reserve/confirm before travel	https://www.air-austral.com/aide.html?question=puis-je-voyager-mon-animal	Puis-je voyager avec mon animal ?	“200 € par trajet”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	€200 one-way	€200	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy amount corroborated.
air_canada	cabin	OFFERED	OFFERED	RANGE	RANGE_EXACT	50–60 Canada/US; 100–120 other itineraries	CAD	Canada/US except Hawaii; all other	one-way per carrier	book/register in advance	https://www.aircanada.com/hk/en/aco/home/legal/products-and-services.html	Pets > cabin fees	“$50–$60 … $100–$120”	PRICE_EXCERPT_PRESENT	2024-10-28	2026-09-10	$50–120	50–60 / 100–120	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy grid corroborated.
air_canada	cargo	OFFERED	OFFERED	QUOTE	QUOTE	AC Animals quote	ND	cargo network / route restrictions	shipment	advance cargo booking	https://www.aircanada.com/cargo/all-products/ac-animals	AC Animals	“AC Animals”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No public amount found.
air_canada	hold	OFFERED	OFFERED	RANGE	RANGE_EXACT	105–126 Canada/US; 270–324 other itineraries	CAD	Canada/US except Hawaii; all other	one-way per carrier	at least 48h on most itineraries	https://www.aircanada.com/hk/en/aco/home/legal/products-and-services.html	Pets > baggage compartment fees	“$105–$126 … $270–$324”	PRICE_EXCERPT_PRESENT	2024-10-28	2026-09-10	$105–324	105–126 / 270–324	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy grid corroborated.
air_caraibes	cabin	OFFERED	OFFERED	EXACT	EXACT	75	EUR	transatlantic operated flights	per trip; non-refundable	reserve; subject quota	https://www.aircaraibes.com/en/before-travel/special-requests/pets	Cabin fare	“€75 per trip”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	€10–75	short-haul €10; transatlantic €75	NO: legacy fee/fareList dormant; Finder reads policies status only	Current page corroborates €75 only; legacy €10 short-haul not found.
air_caraibes	cargo	CONDITIONAL	CONDITIONAL	QUOTE_OR_NOT_FOUND	QUOTE_OR_NOT_FOUND	contact freight	ND	large/unaccompanied or route-required cases	shipment	advance contact	https://www.aircaraibes.com/en/before-travel/special-requests/pets	Freight cases	“freight”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No public amount found.
air_caraibes	hold	OFFERED	OFFERED	EXACT	EXACT	150	EUR	transatlantic operated flights	per trip; non-refundable	reserve; subject quota	https://www.aircaraibes.com/en/before-travel/special-requests/pets	Hold fare	“€150 per trip”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	€20–150	short-haul €20; transatlantic €150	NO: legacy fee/fareList dormant; Finder reads policies status only	Current page corroborates €150 only; legacy €20 short-haul not found.
air_china	cabin	NOT_OFFERED	NOT_OFFERED	NOT_APPLICABLE	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://ru.airchina.com/RU/GB/info/checked-baggage	Special baggage / pets	“pets checked per container”	NO_FARE_APPLICABLE	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	Only service dogs in cabin.
air_china	cargo	CONDITIONAL	CONDITIONAL	QUOTE_OR_NOT_FOUND	QUOTE_OR_NOT_FOUND	contact cargo	ND	above passenger limits / route restrictions	shipment	advance arrangement	https://ru.airchina.com/go/2025.4-13/Baggage/Special_Baggage/EN20220610.pdf	Over-limit pets	“cargo”	MECHANISM_EXCERPT_PRESENT	2022-06-10	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No public cargo amount found.
air_china	hold	OFFERED	OFFERED	EXACT	EXACT	3900 (2–8kg); 5200 (>8–23kg); 7800 (>23–32kg), equivalents 600/800/1200	CNY/USD	international special-baggage table	per container / weight band	advance application; subject space	https://ru.airchina.com/go/2025.4-13/Baggage/Special_Baggage/EN20220610.pdf	Pets checked per container	NEEDS_QUOTE — official PDF was inaccessible to faithful text extraction; locator alone does not prove the CNY/USD amounts	LOCATOR_ONLY_REVIEW_BEFORE_IMPORT	2022-06-10	2026-09-10	special-baggage fee	legacy formula only	NO: legacy fee/fareList dormant; Finder reads policies status only	Official PDF still linked by current baggage page; page date old.
air_europa	cabin	OFFERED	OFFERED	EXACT	EXACT	36 Spain domestic/Balearic; 52 Spain–Europe/Canaries; 155 long-haul	EUR/USD	listed route groups	per live animal / segment	book through airline before travel	https://www.aireuropa.com/us/en/aea/travel-information/terms-and-conditions/flight-conditions.html	Animals > charges	“36 … 52 … 155”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	€35–175	legacy 35/50/150–175	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy amounts are stale/different.
air_europa	cargo	CONDITIONAL	CONDITIONAL	QUOTE_OR_NOT_FOUND	QUOTE_OR_NOT_FOUND	contact cargo	ND	when passenger rules do not permit	shipment	advance arrangement	https://www.aireuropa.com/us/en/aea/travel-information/terms-and-conditions/flight-conditions.html	Animals / cargo cases	“cargo”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No public cargo amount found.
air_europa	hold	OFFERED	OFFERED	EXACT	EXACT	93 Spain domestic/Balearic; 155 Spain–Europe/Canaries; 310 long-haul	EUR/USD	listed route groups	per live animal / segment	book through airline before travel	https://www.aireuropa.com/us/en/aea/travel-information/terms-and-conditions/flight-conditions.html	Animals > charges	“93 … 155 … 310”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	€90–350	legacy 90–350	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy range not exact current grid.
air_france	cabin	OFFERED	OFFERED	NOT_FOUND	NOT_FOUND	price provided by booking/route selector; numeric tariff not found on public page	ND	eligible routes	per pet / itinerary as quoted	add during booking; availability; 48h advised for USA	https://www.airfrance.com/information/passagers/voyager-avec-son-animal-chien-chat	Tarifs / cabine	“ajoutez votre animal à votre réservation”	NO_CURRENT_FARE_FOUND	ND	2026-09-10	70–200	legacy grid	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy amount not corroborated; do not publish it.
air_france	cargo	CONDITIONAL	CONDITIONAL	QUOTE	QUOTE	Air France-KLM Martinair Cargo quote	ND	unaccompanied/over-limit/route-required	shipment	advance cargo booking	https://www.airfrance.com/information/passagers/voyager-avec-son-animal-chien-chat	Transport par fret	“transport par fret”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No public amount found.
air_france	hold	OFFERED	OFFERED	NOT_FOUND	NOT_FOUND	price provided by booking/route selector; numeric tariff not found	ND	eligible routes and aircraft	per pet / itinerary as quoted	add no later than 24h; 48h for USA	https://www.airfrance.com/information/passagers/voyager-avec-son-animal-chien-chat	Tarifs / soute	“au plus tard 24 h avant le départ”	NO_CURRENT_FARE_FOUND	ND	2026-09-10	100–400	legacy grid	NO: legacy fee/fareList dormant; Finder reads policies status only	Late addition surcharge exists; base amount not found.
air_india	cabin	OFFERED	OFFERED	MATRIX	EXACT_GRID	7500 domestic; 140/160/225 international bands	INR/USD	domestic and destination bands	per sector / pet container	at least 48h before departure	https://www.airindia.com/content/dam/air-india/pdfs/ai-pets-in-cabin-guidelines.pdf	Pet charges table	NEEDS_QUOTE — identified PDF text proves INR 7,500 and USD 140/160, but no USD 225 cell was found	LOCATOR_ONLY_REVIEW_BEFORE_IMPORT	ND	2026-09-10	$140–225 / ₹7500	legacy grid	NO: legacy fee/fareList dormant; Finder reads policies status only	Official FAQ and PDF differ on some Europe band wording; retain PDF bands and flag route check.
air_india	cargo	CONDITIONAL	CONDITIONAL	QUOTE_OR_NOT_FOUND	QUOTE_OR_NOT_FOUND	contact cargo	ND	over 32kg / unaccompanied / route-required	shipment	advance arrangement	https://www.airindia.com/in/en/frequently-asked-questions/pet-travel.html	Cargo cases	“cargo”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No public amount found.
air_india	hold	OFFERED	OFFERED	EXACT	EXACT	16000 domestic; 350 international	INR/USD	domestic / international	per sector / pet container	at least 48h before departure	https://www.airindia.com/in/en/frequently-asked-questions/pet-travel.html	Pet in hold > charges	“INR 16,000 … USD 350”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	$350 / ₹16000	legacy exact	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy amount corroborated.
air_mauritius	cabin	NOT_OFFERED	NOT_OFFERED	NOT_APPLICABLE	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://www.airmauritius.com/en-fr/before-you-fly/travel-information/assistance-and-health/travelling-with-pets	Cabin rules	“Pets are not allowed in the cabin”	NO_FARE_APPLICABLE	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	Service animals separate.
air_mauritius	cargo	OFFERED	OFFERED	QUOTE	QUOTE	contact for quote	ND	cargo network	shipment	advance cargo booking	https://my.airmauritius.com/en-gb/help/faq/cargo-queries	Cargo queries	“Please contact us for a quote”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No public amount.
air_mauritius	hold	CONDITIONAL	CONDITIONAL	FORMULA	FORMULA	excess-baggage applicable rate	varies	from Mauritius; subject route acceptance	pet+container weight	reserve at booking	https://www.airmauritius.com/en-fr/before-you-fly/travel-information/assistance-and-health/travelling-with-pets	Checked baggage pets	“applicable excess baggage rate”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	excess-baggage rate	legacy formula	NO: legacy fee/fareList dormant; Finder reads policies status only	Exact amount not published.
air_new_zealand	cabin	NOT_OFFERED	NOT_OFFERED	NOT_APPLICABLE	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://www.airnewzealand.com/en-nz/travel-info/accessibility-and-assistance/travelling-with-pets	Travel options	“not permitted in the cabin”	NO_FARE_APPLICABLE	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	Service dogs separate.
air_new_zealand	cargo	LIMITED	OFFERED_INTERNATIONAL	QUOTE	QUOTE	approved pet transporter quote	ND	international and unaccompanied	shipment	advance transporter booking	https://www.airnewzealand.com/en-nz/travel-info/accessibility-and-assistance/travelling-with-pets	International pet transport	“approved pet transporter”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No public amount.
air_new_zealand	hold	LIMITED	OFFERED_DOMESTIC	EXACT	EXACT	120	NZD	domestic New Zealand	per carrier per journey / one direction	after passenger booking; submit pet form	https://www.airnewzealand.com/en-nz/travel-info/accessibility-and-assistance/travelling-with-pets	Domestic pets / charge	“NZD $120 per pet carrier per journey”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	NZ$120	legacy exact	NO: legacy fee/fareList dormant; Finder reads policies status only	International pets use cargo/transporter.
air_serbia	cabin	OFFERED	OFFERED	MATRIX	EXACT_GRID	40 regional; 70 Europe; 80 Middle East/Africa; 100 Russia; 130 USA/Canada/China	EUR	listed destination groups	per flight segment	request at booking; capacity check	https://www.airserbia.com/en/info-and-help/travel-guidelines/traveling-with-your-pets	Fees	“€40 … €70 … €80 … €100 … €130”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	€40–130	legacy exact grid	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy grid corroborated.
air_serbia	cargo	NOT_ESTABLISHED	NON_ESTABLISHED	NOT_FOUND	NOT_FOUND	—	ND	no current official pet-cargo offer located	ND	ND	https://www.airserbia.com/en/info-and-help/travel-guidelines/traveling-with-your-pets	Scope of page	“Travelling with your pets”	NO_CURRENT_FARE_FOUND	ND	2026-09-10	Not published	not carried	NO: legacy fareList dormant; Finder reads policies status only	Do not infer non-service from silence.
air_serbia	hold	NOT_OFFERED	NOT_OFFERED	NOT_APPLICABLE	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://www.airserbia.com/en/info-and-help/travel-guidelines/traveling-with-your-pets	Travel mode	“in the passenger cabin”	NO_FARE_APPLICABLE	ND	2026-09-10	Not published	not carried	NO: legacy fareList dormant; Finder reads policies status only	Official pet page provides cabin service only.
air_tahiti_nui	cabin	LIMITED	OFFERED_LIMITED_ROUTES	MATRIX	EXACT_GRID	14000 PPT–LAX; 24000 PPT–Paris; 150 LAX–Paris; 150 Paris–LAX	XPF/USD/EUR	specified operated sectors	per cage one-way	reserve in advance; capacity/route rules	https://us.airtahitinui.com/our-optional-services-and-fees	Pets in cabin	“In-cabin pet | Papeete | Los Angeles | XPF 14,000; Papeete | Paris | XPF 24,000; Los Angeles | Paris | USD 150; Paris | Los Angeles | EUR 150”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	€150/$150	legacy grid includes XPF	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy exact grid corroborated.
air_tahiti_nui	cargo	CONDITIONAL	CONDITIONAL	QUOTE_OR_NOT_FOUND	QUOTE_OR_NOT_FOUND	contact cargo	ND	route/animal cases outside cabin	shipment	advance arrangement	https://www.airtahitinui.com/sites/default/files/medias/files/2025-03/_DRX_SQC_CGV%20PETC_V2.1_250319_EN_Effective%2026MAR25.pdf	Cargo/route exclusions	“Effective 26MAR25”	MECHANISM_EXCERPT_PRESENT	2025-03-26	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No public cargo amount found.
air_tahiti_nui	hold	NOT_ESTABLISHED	NON_ESTABLISHED	NOT_FOUND	NOT_FOUND	—	ND	no passenger hold tariff located	ND	ND	https://us.airtahitinui.com/our-optional-services-and-fees	Pets section	“Pets in cabin”	NO_CURRENT_FARE_FOUND	ND	2026-09-10	missing	missing	NO: Finder reads policies status only	Do not infer service.
air_transat	cabin	OFFERED	OFFERED	MATRIX	EXACT_GRID	50 Canada/USA; 100 South/Europe/Africa	CAD	Air Transat-operated sectors	per pet per flight segment	pay up to 24h before flight	https://www.airtransat.com/en-CA/Travel-information/Special-services/Pets-and-service-dogs	Fees for cabin	“Paid up to 24 hours before departure | $100 | $100 | $50 | $50”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	CAD 50–100	legacy exact grid	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy grid corroborated.
air_transat	cargo	NOT_ESTABLISHED	NON_ESTABLISHED	NOT_FOUND	NOT_FOUND	—	ND	no official pet-cargo tariff located	ND	ND	https://www.airtransat.com/en-CA/Travel-information/Special-services/Pets-and-service-dogs	Scope of page	“Pets and service dogs”	NO_CURRENT_FARE_FOUND	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	Do not infer amount or service.
air_transat	hold	OFFERED	OFFERED	MATRIX	EXACT_GRID	100 within Canada; 150 USA; 275 South/Europe/Africa	CAD	Air Transat-operated sectors	per pet per flight segment	pay up to 24h before flight	https://www.airtransat.com/en-CA/Travel-information/Special-services/Pets-and-service-dogs	Fees for checked pets	“Paid up to 24 hours before departure | $275 | $275 | $150 | $100”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	CAD 100–275	legacy exact grid	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy grid corroborated.
airbaltic	cabin	OFFERED	OFFERED	EXACT	EXACT	70	EUR	airBaltic-operated flight	per container per direction	book online/with reservation; subject capacity	https://www.airbaltic.com/en/assisted-travel/travelling-with-pets	Fees	“EUR 70 per container per direction”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	€70 per direction	legacy exact	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy corroborated.
airbaltic	cargo	CONDITIONAL	CONDITIONAL	QUOTE_OR_NOT_FOUND	QUOTE_OR_NOT_FOUND	contact cargo above 75kg / cargo cases	ND	cargo-eligible routes	shipment	advance contact	https://www.airbaltic.com/en/assisted-travel/travelling-with-pets	Over 75 kg	“transported as cargo”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	Not published	cargo not published	NO: legacy fee/fareList dormant; Finder reads policies status only	No public amount found.
airbaltic	hold	OFFERED	OFFERED	EXACT	EXACT	130 (1–32kg); 220 (33–75kg)	EUR	airBaltic-operated flight	per container per direction	book in advance; arrive 2h before	https://www.airbaltic.com/en/assisted-travel/travelling-with-pets	Fees in hold	“EUR 130 … EUR 220”	PRICE_EXCERPT_PRESENT	ND	2026-09-10	€130 / €220	legacy exact	NO: legacy fee/fareList dormant; Finder reads policies status only	Legacy corroborated.
aircalin	cabin	NOT_OFFERED	NOT_OFFERED	NOT_APPLICABLE	NOT_APPLICABLE	—	—	ordinary pets	—	—	https://www.aircalin.com/fr/animaux	Transport d’animaux	“Le transport des animaux s’effectue en fret uniquement”	NO_FARE_APPLICABLE	ND	2026-09-10	—	not carried	NO: legacy fareList dormant; Finder reads policies status only	Guide dogs exception.
aircalin	cargo	OFFERED	OFFERED	QUOTE	QUOTE	contact Aircalin freight / forwarder	ND	New Caledonia network and listed routes	shipment	2 business days minimum; to France start 3 months ahead	https://www.aircalin.com/fr/animaux	Destinations / reservation	“Lancer les démarches … 3 mois avant”	MECHANISM_EXCERPT_PRESENT	ND	2026-09-10	Quote	cargo quote	NO: legacy fee/fareList dormant; Finder reads policies status only	No public amount found.
